ISBN,封面图,绘本名称,内容,评论,图书品牌,图书套装,作者,作者原名,作者国别,译者,出版社,作者获奖经历,绘本获奖经历,绘本原作名,适合年龄,责任编辑,正文语种,字数,开本,装帧,出版时间,版次,页数/页,定价/元,编辑推荐,媒体推荐,作者简介,豆瓣评分
9787534641152,,妖湖怪谭 ,这本书中共有《九命灵猫》《三条魔龙》《湖怪》三个中篇故事，合称为《妖湖怪谭》，讲的都是少女或少男所遭遇的魔幻经历。他们凭借自己的勇敢和机智，最终战胜了敌人。那些敌人，有时是个妖巫，有时是几条魔龙，有时是一个泛着淤泥恶臭的湖怪。在现实生活中，没人会相信他们的遭遇，但他们并不孤独，他们不但在书中获得了真诚的友谊，他们还将获得，你，一个慧心的读者，对他们由衷的欣赏。 在动人心魄的故事中，蕴含着深刻的寓意，是这些故事共同的特点。 目录： 九命灵猫 1 红色巴士开进了码头 2 一个眼球蓝、一个眼球黄的老女巫 3 凶兆 4 九头猫怪扑了出来 5 狗舍有个可怕的名字：噩梦集中营 6 我在有轨电车上遇到了噩梦里的那个老女巫 7 《猫的安乐死法165种》 8 女孩对我说，你会发疯的 9 书架背后是猫眼女巫的一双眼睛 10 “美人鱼小姐，我已经找了你几百年了……” 11 猫坟场的传说 12 一片碎纸从天上落了下来 13 我在镜子里看到了一张皱皱巴巴的老脸 14 猫眼女巫就站在我的身后 15 我睡着的时候，有一个老女人坐到了外面的秋千上 16 红色巴士又回来了 17 我想叫，我想放声尖叫 18 游泳池里只剩下了我和表弟两个人 19 更衣箱 20 猫妖沉到了绿色的水底 21 9点朗读会 22 8点27分，我从后门溜了出去 23 雾中有一条诡异的小径 24 美人鱼之墓 25 蜘蛛蟹 26 表弟的一双眼睛变了颜色 三条魔龙 1 我不知道我是为了魔龙而降生 2 妈妈葬在树下 3 一只冰冷的爪子搭在了我的肩上 4 我掉进了陷阱里 5 邪恶双子星AB丢下我不管了 6 树妖婆婆说有一列通往魔界的车 7 身后有三个人露出了一脸狞笑 8 月光电车 9 龙谷 10 我差一点放出来三条凶恶的魔龙 11 蓝蛉族酋长 12 我在“镜泉”边上找到了那只五彩鸟 13 怪物咬住了我的手 14 枯叶蝶站在床头对我说：“你是魔界之子……” 15 爸爸的一根手指动了一下 16 两头小仓鼠 17 班主任“南美狼蛛” 18 我和鼻涕虫在走廊上的一段对话 19 他手心上写着“魔界” 20 地板上是三个大大的黑字：鼻涕虫 21 慢慢地变成了一个绿毛怪物 22 你就是第三条魔龙? 23 五彩鸟 湖怪 1 “尼斯湖怪” 2 一个雨季失踪了九个男孩 3 我在雨中看到了一双一百年前的眼睛 4 邮差 5 一个叫雨蛙的男孩 6 镜子上面映出了一只苍白的小手 7 “Discovery频道”摄影师的儿子 8 妖湖出事了 9 我不知道，我已经没有明天了 10 窗外有……鸟 11 我被一只冰凉的爪子拖出了窗外 12 “到家了!”一个毛骨悚然的声音对我说 13 我成了罐头里的鱼 14 鸟羽风暴 15 门被关上了，但…… 16 是雨蛙的眼睛 17 镜子里的男孩摸了摸我的鼻尖 18 我不是雨蛙，那我是谁? 19 我像穿过一层薄雾一样，穿过了镜子 20 幽灵男孩连牙齿都闪耀着一种淡绿色的光 21 我们的手贴到了一起 22 我们破了它的魔咒，我出来了 23 湖怪化成了一堆灰烬 24 “可我离不开雨天，我只能活在雨里……” 后记,40,,彭懿精灵飞舞幻想小说集,彭懿,,,,凤凰出版传媒集团，江苏少年儿童出版社,,,,,,,,,平装,2008-01,,381,19.00元,,,彭懿，毕业于复旦大学及日本东京学艺大学，获教育学硕士学位。中国作家协会会员。著有幻想文学理论专著《世界幻想儿童文学导论》《宫泽贤治童话论》《幻想教室》，长篇幻想小说《与幽灵擦肩而过》《半夜别开窗》《魔塔》《妖孽》，摄影旅行笔记《独去青海》《邂逅白狐——我的新疆之旅》以及译作《遭遇异人的夏天》《安房直子文集》等。,9.0,"https://book.douban.com/subject/2968974/
"
9787303160952,,不是所有动物都是蓝色的 ,《不是所有动物都是蓝色的》中有穿泳装的水獭，害羞的驴，雨中的小鼠，还有优雅的长颈鹿…… 《不是所有动物都是蓝色的》里的动物都很奇妙，每一个家族里的成员看起来很相像，但是又全都各自不同。,25,,,克里斯提昂·约里波瓦,,,嵇彦伟,北京师范大学出版社,,,,,,,,,,2013-6-1,,,25.00元,,,克里斯提昂·约里波瓦，法国儿童绘本作家，具有敏锐的观察力，她的作品里流淌着法国人特有的精致和优雅。她用铅笔和水彩赋予她笔下的动物一种独特的韵味，哪怕这些动物穿着滑稽的脚蹼或者手中的伞被一阵狂风吹到天上，它们仍然能给人以优雅的感觉。 通过《不是所有动物都是蓝色的》，约里波瓦告诉我们，不管我们看起来多么相似，我们每个个体始终是独一无二的。正是差异和不同才使我们卓尔不群。约里波瓦带领我们——孩子和成人——进入一个敏锐的、富有个性的世界，在这个世界里，我们都在相似中寻找不同。,8.7,"https://book.douban.com/subject/24541931/
"
,,哭鼻子比赛 ,郑渊洁出版的第一部童话集.目录如下: 1.黑黑在诚实岛 2.脏话收购站 3.哭鼻子比赛 4.外号专家逃命记 5.一本不能出版的书 6.长驴头的小鹿 7.作业调整公司 8.耳朵王国 9.真假小虎子 10.小骑士 11.神童王全,49,,,郑渊洁,,,,湖南少年儿童出版社,,,,,,,,,平装,1982年11月,,119,0.30,,,,8.2,"https://book.douban.com/subject/2069636/
"
9787507719239,,金拇指 ,本书主要内容包括：儿子吃狗粮、米小旭的电话、同学聚会、下注赌博、开门红、一败涂地向胡敬求救、泥沙俱下、意外发现、难以置信、惊心动魄、出人意料、所向披靡、向米小旭提条件、还债、不速之客、四面楚歌、国贸之夜。   　　《金拇指》是郑渊洁2001年创作的19万字长篇小说。女一号欧阳宁秀是下岗工人，家境贫寒。一次同学聚会改变了她的命运。偶然的发现使她得知自己的某个大拇指是能洞悉股市未来行情的金拇指。金拇指给她的家庭、友谊、生命制造的悲欢离合可谓登峰造极。,3160,,郑渊洁选集,郑渊洁,,,,学苑出版社,,,,,,,,,平装(无盘),2003-3,,419,19.00元,,,,8.5,"https://book.douban.com/subject/1090575/
"
9787806794845,,疯丫头杜真子 ,《疯丫头杜真子》的故事梗概：马小跳最不喜欢的女生是谁？——一个是同桌路曼曼，一个是表妹杜真子！在学校有路曼曼管他，回到家里有杜真子气他。杜真子的爸爸妈妈出国了，她现在就住在马小跳家。杜真子不仅强占了马小跳的房间（可怜的马小跳晚上只好睡在大厅的沙发上），而且动不动就咋咋呼呼地指责马小跳，甚至连她的猫也欺负马小跳。马小跳的生活一下子全乱套了。,510,,淘气包马小跳,杨红樱,,,,接力出版社,,,,,,,,,简裝本,2004-6,,164,13.00元,,,杨红樱，四川省作家协会副主席，成都市文联副主席，曾做过小学老师、儿童读物编辑、儿童刊物主编，享受国务院特殊津贴的“有突出贡献的专家”。      19岁开始发表儿童文学作品，现已出版童话、儿童小说五十余种。已成为畅销品牌图书的有：《杨红樱童活系列》、《杨红樱校园小说系列》、《淘气包马小跳系列》、《笑猫日记系列》，总销量超过3000万册。      曾获中宣部“五个一工程”奖、中国出版政府奖提名奖、中华优秀出版物奖、全国优秀儿童文学奖、冰心儿童图书奖等奖项。      作品被泽成英、法、德、韩、越等多语种在全球出版发行。      在作品中坚持“教育应该把人性关怀放在首位”的理念，在中小学校产生了广泛的影响，多次被少年儿童评为“心中最喜爱的作家”。,8.3,"https://book.douban.com/subject/1162370/
"
9787533253486,,春天的野餐 ,弗雷德生日那天，艾伯先生提议为他举办一个特别的生日野餐会，野蔷薇村所有的老鼠都被邀请来参加。弗雷德很失望，因为看起来没有人知道今天是他的生日，他多么希望能有人送他生日礼物啊。在去野餐的路上，艾伯先生交给他一个篮子，当他打开篮子时，一个惊喜正在等着他……,20,,,[英]吉尔·巴克莲,,英,苏永刚,明天出版社,,,,,,,,,,2007年7月,,32页,8.50元,,,吉尔·巴克莲（Jill Barklem），出生在英国埃塞克郡的埃平市（Epping）。埃平丰富的自然环境，是吉尔最留恋的，所以从小到后来结婚成家，她都没有离开此地。 埃平的一草一木是吉尔创造《野蔷薇村》的一切灵感来源，也伴她度过艰难的童年时光。 吉尔自小就患有视网膜剥离的眼疾。所以不能像一般孩子跑跑跳跳。后来，她母亲发现她有绘画的天份，就鼓励她画画，也让她排遣时间。 吉尔后来进入伦敦的圣马丁艺术学院（St Martin's School of Art），每天要花一小时坐车到伦敦。她为了排遣路上的无聊时间和车上的吵杂，开始想象在埃平的森林里，有一群和平、友善的老鼠在树洞里建立家园，在悬钩子灌木丛（Brambly Hedge，野蔷薇村）里过着自给自足的生活。她一边构思，一边也顺手在车上速写。之所以选择老鼠为主角，主要是吉尔小时候养了一只老鼠当宠物。 吉尔...(展开全部),9.5,"https://book.douban.com/subject/2170923/
"
9787532415083,,绿色童话 ,《彩色童话集》又称《朗格童话集》，是英国著名作家安德鲁·朗格编辑的童话集。收录了许多著名童话及改编作品，包括安徒生、格林兄弟、豪夫等人作品，同时也收罗了《一千零一夜》、挪威、英格兰、苏格兰以及亚洲各地的民间童话。他于1889年刊行《蓝色童话》以来，到1907年止陆续出版了《绿色童话》、《红色童话》、《黄色童话》。《绿色童话》是《彩色童话》的第二集。,267,,彩色童话集,安德鲁·朗格,,,张训达,少年儿童出版社,,,,,,,,,精装,1991年11月1日,,400 页,20.00元,,,,9.1,"https://book.douban.com/subject/2266772/
"
9787229090081,,艺术大书 ,"孩子的第一本艺术启蒙大书，千万不可错过！ 欧洲童书大师最经典的艺术创意游戏书，精彩的创意分分钟刺激着孩子与生俱来、纯粹敏感的艺术神经，分分钟激荡着孩子无比丰富的想象力，孩子们在游戏中像艺术大师一样思维和创造,在最开心得玩耍中实现与艺术的亲密拥抱！ 孩子，这是你的第一本艺术书！祝你早一天拥有它，把它拿起来，翻开，然后又把它倒过来…… 你看到了什么？涂鸦和斑点，形状和字母，符号和线条…… 那么，现在你要成为艺术家了： 你只需简单地翻页，就可以组合和搭配出很多很多图案与画作， 太有趣了！ 杜莱有真正的儿童思维和意识！孩子在很小的时候也是画《艺术大书》这样的抽象色彩与点线关系游戏，就像艺术大师那样，一般家长都会以为是小孩不成熟时而碰巧产生的涂鸦，其实这是孩子在认知阶段对绘画天然敏感，也是孩子最宝贵的思维方式。我们千万不要用“教未成年人”的方式去引导他们去画画，那就好像用人造砖去替换孩子的宝玉。 ——熊亮（原创绘本大师） 这真是一本与众不同的艺术大书，可以和孩子一起玩起来。线条与色彩、杂乱与整齐、平视与透视、聚合与分散、坚硬与柔软、冷色与暖色、黑白与彩色、字符与形象……画家作者以分组表达的方式，把共用形、镂空形的设计手法用得异常巧妙——不同动感的感叹号，瞬间变成了问号；平静的大海，忽而鱼游海底，忽而鱼跃海面……孩子在翻页的趣味中，感受鱼、海、船，车、人、房等不同的组合，得到无限的审美启蒙。 ——苏清华 （画家、作家、儿童美育专家） 杜莱的这本艺术大书非常酷，独特的上下分页方式让书产生了多样变化。作为一个9年来一直跟孩子的画打交道的“超龄儿童”，我完全能够想象孩子翻阅这本大书时的兴奋与快乐。我也清楚地知道，杜莱作品里传递出的自然纯粹的美的意识与无尽想象力，对于今天的中国儿童来说，有多么宝贵！我推荐父母、孩子以及从事儿童相关产业的人都来翻开这本书，它向我们展开的，是儿童视角下，世界的无限可能性。 ——李芳妃（画家、作家、儿童美育专家） 杜莱一直是一个快乐的孩子，他用颜色表达着各种情绪，他把眼睛所看到的各种事物，解析成各种大大小小的点子、线条、形状，象对待每个有性格的人，将颜色当做符号编排游戏规则，让孩子可以在游戏中讲出动人的故事。《艺术大书》，等着孩子们用它来游戏，并在游戏中享受与艺术的亲密接触。 ——赵雪春（中国儿童中心高级美术教师，儿童美术教育家 ）",21,,,[法]埃尔维•杜莱,,法,青豆童书馆,重庆出版集团,,,the Big Book of Art,,,,,,精装,2015-1-1,,90,128.00,,,埃尔维•杜莱：1958年出生于法国诺曼底。创作出版60余部作品，曾经斩获欧洲乃至全世界一系列最重要的童书奖项，包括“博洛尼亚国际童书展非小说类大奖”、“儿童文学小人书奖”、“女巫奖”、“蒙特勒伊童书节金砖奖”，这些作品和奖项奠定了杜莱欧洲童书大师的地位。 他创作的童书被翻译成27种语言，深受全世界小朋友的喜爱。代表作有《艺术大书》《点点点》《10个10》《哈！不要搞错！》《哈！永远永远不要搞错！》《杜噜嘟嘟》等，《艺术大书》是作者最重要的艺术创意作品。,9.2,"https://book.douban.com/subject/26314604/
"
9787807680499,,世界儿童文学名著名图宝典 ,,,,,格林兄弟	等,,,马爱农,生活·读书·新知三联书店  生活书店出版有限公司,,,,,,,,,精装,2015-6,,493,98.00元,,,,,"https://book.douban.com/subject/26583818/
"
,,sc3 ,2010年法国安古兰漫画节“另类漫画奖”得主！ 45位中国先锋漫画家，来自不同领域的顶尖创作人，围绕主题“前途”精心打造的漫画合集，将你引入漫画的可能性之旅。 我们的生活，我们的时代，奥运，春节，高考，SARS，禽流感，512大地震，内容透及现实的层层面面，在中国，在我 们身边，怀绕着的喜悦和悲痛，感动和困惑，平凡和不凡，45位漫画艺术家自不同角度，纪录你我共同的回忆，这是我们无法忘怀的生命与历程。 640页大容量，长达二十月的悉心打磨，现实主义的成人漫画，前所未有。让人汗毛林立的畅快阅读，时评般的辛辣锐度，小说般的开阔深沉，影像般的细腻斑驳，原来漫画可以这样看！ 小站：http://site.douban.com/106881/ 购买：http://shop34846228.taobao.com/,312,,,合集,,,,Special Comix,,,,,,,,,大16开,2009年,,640页,128元,,,45位中国先锋漫画家，来自不同领域的顶尖创作人，围绕主题“前途”精心打造的漫画合集，将你引入漫画的可能性之旅。,8.9,"https://book.douban.com/subject/4161958/
"
